packet_id,timestamp,dpid,in_port,eth_src,eth_dst,protocol,src_ip,dst_ip,src_port,dst_port,ttl,packet_len,tcp_flags,icmp_type,icmp_code,arp_opcode,arp_src_ip,arp_dst_ip,info
3058,2026-04-18T10:19:25.559,0000000000000003,3,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [SYN|ACK]
3059,2026-04-18T10:19:25.655,0000000000000001,2,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [SYN|ACK]
3060,2026-04-18T10:19:25.744,0000000000000001,2,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [ACK]
3061,2026-04-18T10:19:25.807,0000000000000001,2,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,66,FIN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [FIN|ACK]
3062,2026-04-18T10:19:25.868,0000000000000001,2,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [SYN|ACK]
3063,2026-04-18T10:19:25.939,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50668,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50668 → 10.0.0.6:5001 [SYN]
3064,2026-04-18T10:19:26.014,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [SYN|ACK]
3065,2026-04-18T10:19:26.070,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [ACK]
3066,2026-04-18T10:19:26.149,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,66,FIN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [FIN|ACK]
3067,2026-04-18T10:19:26.248,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,66,FIN|ACK,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [FIN|ACK]
3068,2026-04-18T10:19:26.354,0000000000000002,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50668,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50668 [SYN|ACK]
3069,2026-04-18T10:19:26.434,0000000000000004,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [SYN|ACK]
3070,2026-04-18T10:19:26.533,0000000000000004,4,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,66,ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [ACK]
